"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1778","User login with wrong email or password","LMS system","Thu Apr 02 18:05:57 UTC 2026","passed","Thu Apr 02 18:05:59 UTC 2026","Authorization","Authentication","",""
"","1671","User login with wrong email or password","LMS system","Thu Apr 02 18:05:59 UTC 2026","passed","Thu Apr 02 18:06:01 UTC 2026","Authorization","Authentication","",""
"","1564","Navigation from login page to registration page","LMS system","Thu Apr 02 18:06:01 UTC 2026","passed","Thu Apr 02 18:06:03 UTC 2026","Authorization","Authentication","",""
"","2411","Create course","LMS system","Thu Apr 02 18:06:05 UTC 2026","passed","Thu Apr 02 18:06:08 UTC 2026","Courses","Courses","",""
"","1595","Check displaying of empty courses list","LMS system","Thu Apr 02 18:06:04 UTC 2026","passed","Thu Apr 02 18:06:05 UTC 2026","Courses","Courses","",""
"","3034","User login with correct email and password","LMS system","Thu Apr 02 18:05:59 UTC 2026","passed","Thu Apr 02 18:06:02 UTC 2026","Authorization","Authentication","",""
"","3035","Edit course","LMS system","Thu Apr 02 18:06:06 UTC 2026","passed","Thu Apr 02 18:06:09 UTC 2026","Courses","Courses","",""
"","1728","Check displaying of dashboard page","LMS system","Thu Apr 02 18:06:08 UTC 2026","passed","Thu Apr 02 18:06:10 UTC 2026","Dashboard","Dashboard","",""
"","1802","User login with wrong email or password","LMS system","Thu Apr 02 18:05:57 UTC 2026","passed","Thu Apr 02 18:05:59 UTC 2026","Authorization","Authentication","",""
"","1789","Registration with correct email, username and password","LMS system","Thu Apr 02 18:06:02 UTC 2026","passed","Thu Apr 02 18:06:04 UTC 2026","Registration","Authentication","",""
