"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1482","User login with wrong email or password","LMS system","Tue Mar 03 14:56:10 UTC 2026","passed","Tue Mar 03 14:56:12 UTC 2026","Authorization","Authentication","",""
"","2100","User login with wrong email or password","LMS system","Tue Mar 03 14:56:08 UTC 2026","passed","Tue Mar 03 14:56:10 UTC 2026","Authorization","Authentication","",""
"","2515","Create course","LMS system","Tue Mar 03 14:56:17 UTC 2026","passed","Tue Mar 03 14:56:19 UTC 2026","Courses","Courses","",""
"","1764","Registration with correct email, username and password","LMS system","Tue Mar 03 14:56:14 UTC 2026","passed","Tue Mar 03 14:56:15 UTC 2026","Registration","Authentication","",""
"","1550","Navigation from login page to registration page","LMS system","Tue Mar 03 14:56:12 UTC 2026","passed","Tue Mar 03 14:56:14 UTC 2026","Authorization","Authentication","",""
"","1569","Check displaying of empty courses list","LMS system","Tue Mar 03 14:56:15 UTC 2026","passed","Tue Mar 03 14:56:16 UTC 2026","Courses","Courses","",""
"","1552","Check displaying of dashboard page","LMS system","Tue Mar 03 14:56:20 UTC 2026","passed","Tue Mar 03 14:56:21 UTC 2026","Dashboard","Dashboard","",""
"","2179","User login with wrong email or password","LMS system","Tue Mar 03 14:56:08 UTC 2026","passed","Tue Mar 03 14:56:10 UTC 2026","Authorization","Authentication","",""
"","2946","User login with correct email and password","LMS system","Tue Mar 03 14:56:10 UTC 2026","passed","Tue Mar 03 14:56:13 UTC 2026","Authorization","Authentication","",""
"","2988","Edit course","LMS system","Tue Mar 03 14:56:17 UTC 2026","passed","Tue Mar 03 14:56:20 UTC 2026","Courses","Courses","",""
