"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1970","Check displaying of dashboard page","LMS system","Thu Apr 02 17:23:34 UTC 2026","passed","Thu Apr 02 17:23:36 UTC 2026","Dashboard","Dashboard","",""
"","2274","Create course","LMS system","Thu Apr 02 17:23:32 UTC 2026","passed","Thu Apr 02 17:23:34 UTC 2026","Courses","Courses","",""
"","2179","User login with wrong email or password","LMS system","Thu Apr 02 17:23:22 UTC 2026","passed","Thu Apr 02 17:23:25 UTC 2026","Authorization","Authentication","",""
"","1699","Navigation from login page to registration page","LMS system","Thu Apr 02 17:23:29 UTC 2026","passed","Thu Apr 02 17:23:30 UTC 2026","Authorization","Authentication","",""
"","1606","Check displaying of empty courses list","LMS system","Thu Apr 02 17:23:31 UTC 2026","passed","Thu Apr 02 17:23:32 UTC 2026","Courses","Courses","",""
"","1863","User login with wrong email or password","LMS system","Thu Apr 02 17:23:25 UTC 2026","passed","Thu Apr 02 17:23:27 UTC 2026","Authorization","Authentication","",""
"","3360","User login with correct email and password","LMS system","Thu Apr 02 17:23:25 UTC 2026","passed","Thu Apr 02 17:23:28 UTC 2026","Authorization","Authentication","",""
"","3232","Edit course","LMS system","Thu Apr 02 17:23:32 UTC 2026","passed","Thu Apr 02 17:23:36 UTC 2026","Courses","Courses","",""
"","2084","Registration with correct email, username and password","LMS system","Thu Apr 02 17:23:27 UTC 2026","passed","Thu Apr 02 17:23:29 UTC 2026","Registration","Authentication","",""
"","2126","User login with wrong email or password","LMS system","Thu Apr 02 17:23:22 UTC 2026","passed","Thu Apr 02 17:23:25 UTC 2026","Authorization","Authentication","",""
